encoded_action,rate,MM,encoded_orientation,encoded_shape,vol,encoded_color,mag,unit_x,unit_y,unit_z
1,0.1,1.0,1,1,0.1492,1,0.909,0.495,-0.11,-0.862
1,1.55,1.0,1,1,0.1492,1,0.909,0.495,-0.11,-0.862
1,3.0,1.0,1,1,0.1492,1,0.909,0.495,-0.11,-0.862
3,3.0,0.4,2,2,0.0217,2,0.885,0.508,-0.113,-0.854
3,76.5,0.4,2,2,0.0217,2,0.885,0.508,-0.113,-0.854
3,150.0,0.4,2,2,0.0217,2,0.885,0.508,-0.113,-0.854
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
4,7.0,0.4,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,0.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,2.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
4,7.0,0.4,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,1.0666666666666667,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,2.033333333333333,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,3.0,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
4,7.0,0.4,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
4,7.0,0.1,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
4,7.0,0.26666666666666666,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
4,7.0,0.43333333333333335,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
4,7.0,0.6,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,1.0666666666666667,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,2.033333333333333,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,3.0,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
4,3.0,0.4,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
4,52.0,0.4,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
4,101.0,0.4,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,1.0666666666666667,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,2.033333333333333,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,3.0,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
4,7.0,0.4,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
4,7.0,0.4,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,0.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,2.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
4,7.0,0.4,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,0.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,2.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
3,7.0,0.4,2,2,0.0911,3,0.053,-0.001,-0.008,1.0
1,0.1,1.0,1,1,0.2681,1,0.915,0.492,-0.109,-0.864
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,0.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,2.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
4,7.0,0.4,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,1.0666666666666667,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,2.033333333333333,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,3.0,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
4,7.0,0.4,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,1,0.2681,1,0.915,0.492,-0.109,-0.864
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,1.0666666666666667,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,2.033333333333333,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,3.0,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
4,7.0,0.4,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,0.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,1.0666666666666667,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,2.033333333333333,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,3.0,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
4,7.0,0.4,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,1.0666666666666667,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,2.033333333333333,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,3.0,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
4,7.0,0.4,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,1.0666666666666667,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,2.033333333333333,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,3.0,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
4,7.0,0.4,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
4,7.0,0.4,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.91,0.494,-0.11,-0.862
1,0.1,1.0,1,2,0.0911,1,0.91,0.494,-0.11,-0.862
1,1.0666666666666667,1.0,1,2,0.0911,1,0.91,0.494,-0.11,-0.862
1,2.033333333333333,1.0,1,2,0.0911,1,0.91,0.494,-0.11,-0.862
1,3.0,1.0,1,2,0.0911,1,0.91,0.494,-0.11,-0.862
4,7.0,0.4,2,2,0.0911,1,0.91,0.494,-0.11,-0.862
4,7.0,0.4,2,2,0.0911,1,0.91,0.494,-0.11,-0.862
4,7.0,0.4,2,2,0.0911,1,0.91,0.494,-0.11,-0.862
4,7.0,0.4,2,2,0.0911,1,0.91,0.494,-0.11,-0.862
4,7.0,0.4,2,2,0.0911,1,0.91,0.494,-0.11,-0.862
4,7.0,0.4,2,2,0.0911,1,0.91,0.494,-0.11,-0.862
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,1.0666666666666667,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,2.033333333333333,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,3.0,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
6,2.033333333333333,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,0.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,2.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,1.0666666666666667,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,2.033333333333333,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,3.0,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
6,2.033333333333333,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,0.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,2.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,0.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,2.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,1.0666666666666667,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,2.033333333333333,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,3.0,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
6,2.033333333333333,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
4,3.0,0.4,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
4,52.0,0.4,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
4,101.0,0.4,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,0.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,2.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,1.0666666666666667,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,2.033333333333333,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,3.0,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
6,2.033333333333333,1.0,1,2,0.0911,1,0.9,-0.5,0.111,0.859
1,0.1,1.0,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,1.0666666666666667,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,2.033333333333333,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,3.0,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
6,2.033333333333333,1.0,1,2,0.0911,1,0.9,-0.5,0.111,0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,1.0666666666666667,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,2.033333333333333,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,3.0,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
6,2.033333333333333,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
6,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
6,1.0666666666666667,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,1.0666666666666667,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,2.033333333333333,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,3.0,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,1.0666666666666667,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,2.033333333333333,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,3.0,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
6,2.033333333333333,1.0,1,2,0.0911,1,0.9,-0.5,0.111,0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,0.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,0.8333333333333333,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.1666666666666665,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.91,0.494,-0.11,-0.862
1,0.1,0.5,1,2,0.0911,1,0.91,0.494,-0.11,-0.862
1,0.1,0.8333333333333333,1,2,0.0911,1,0.91,0.494,-0.11,-0.862
1,0.1,1.1666666666666665,1,2,0.0911,1,0.91,0.494,-0.11,-0.862
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,0.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.3333333333333335,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,2.166666666666667,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,3.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,0.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,3.6666666666666665,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,6.833333333333333,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,0.1,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,0.05,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,0.16666666666666669,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,0.2833333333333334,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,0.1,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,0.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,0.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,3.6666666666666665,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
