encoded_action,rate,MM,encoded_orientation,encoded_shape,vol,encoded_color,mag,unit_x,unit_y,unit_z
1,0.1,6.833333333333333,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,0.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,3.6666666666666665,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,6.833333333333333,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,0.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,3.6666666666666665,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,0.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,3.6666666666666665,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
3,7.0,0.4,2,2,0.0911,3,0.0,0.0,0.0,0.0
3,7.0,0.4,2,2,0.0911,3,0.0,0.0,0.0,0.0
1,0.1,1.0,1,1,0.2681,1,0.915,0.492,-0.109,-0.864
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,1.0666666666666667,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,1.0666666666666667,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,1,0.2681,1,0.909,0.495,-0.0,-0.869
1,0.1,1.0,1,2,0.0911,1,0.894,0.503,-0.0,-0.864
1,0.1,1.0,2,2,0.0911,1,0.894,0.503,-0.0,-0.864
1,0.1,1.0,1,2,0.0911,1,0.894,0.503,-0.0,-0.864
1,0.1,1.0,1,2,0.0911,1,0.894,0.503,-0.0,-0.864
1,1.0666666666666667,1.0,1,2,0.0911,1,0.894,0.503,-0.0,-0.864
1,0.1,1.0,1,1,0.2681,1,0.915,0.492,-0.109,-0.864
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,1,0.2681,1,0.915,0.492,-0.109,-0.864
3,7.0,1.0,2,2,0.0911,3,0.0,0.0,0.0,0.0
3,7.0,1.0,2,2,0.0911,3,0.0,0.0,0.0,0.0
3,7.0,0.5,2,2,0.0911,3,0.0,0.0,0.0,0.0
3,7.0,1.0,2,2,0.0911,3,0.0,0.0,0.0,0.0
3,7.0,1.5,2,2,0.0911,3,0.0,0.0,0.0,0.0
3,7.0,2.0,2,2,0.0911,3,0.0,0.0,0.0,0.0
6,7.0,1.5,2,2,0.0911,3,0.0,0.0,0.0,0.0
3,7.0,0.0,2,2,0.0911,3,0.984,0.0,0.508,-0.861
3,7.0,0.0,2,2,0.0911,3,0.988,-0.0,0.507,-0.862
3,7.0,-0.1,2,2,0.0911,3,0.988,-0.0,0.506,-0.862
3,7.0,0.033333333333333326,2,2,0.0911,3,0.987,-0.0,0.506,-0.862
3,7.0,0.16666666666666666,2,2,0.0911,3,0.987,-0.0,0.506,-0.862
3,7.0,0.3,2,2,0.0911,3,0.987,-0.0,0.506,-0.862
1,0.1,1.0,1,1,0.2681,1,0.915,0.492,-0.109,-0.864
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,0.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.91,0.494,-0.11,-0.862
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,2,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,1.0666666666666667,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,2.033333333333333,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,3.0,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
6,2.033333333333333,1.0,1,2,0.0911,1,0.9,-0.5,0.111,0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,0.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.3333333333333335,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,0.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
3,7.0,0.0,2,1,0.0202,1,0.895,0.503,-0.112,-0.857
3,7.0,0.0,1,1,0.0202,1,0.895,0.503,-0.112,-0.857
4,3.0,0.4,2,1,3.2511,2,0.96,0.469,-0.104,-0.877
4,76.5,0.4,2,1,3.2511,2,0.96,0.469,-0.104,-0.877
4,150.0,0.4,2,1,3.2511,2,0.96,0.469,-0.104,-0.877
3,7.0,0.0,1,2,0.1554,3,0.052,-0.105,0.076,0.992
3,7.0,0.0,2,2,0.1554,3,0.035,-0.013,0.206,0.979
1,0.1,0.5,1,1,1.5183,3,2.502,0.526,-0.783,0.332
1,0.1,1.75,1,1,1.5183,3,3.217,0.655,-0.716,0.243
1,0.1,3.0,1,1,1.5183,3,3.104,0.732,-0.633,0.252
3,7.0,0.0,1,1,1.8901,3,0.021,0.0,-0.992,-0.129
3,7.0,0.0,2,1,1.8901,3,0.021,0.0,-0.992,-0.124
4,3.0,0.4,2,1,0.1971,1,0.911,0.494,-0.11,-0.863
4,76.5,0.4,2,1,0.1971,1,0.911,0.494,-0.11,-0.863
4,150.0,0.4,2,1,0.1971,1,0.911,0.494,-0.11,-0.863
1,0.1,0.5,1,1,1.4001,3,0.94,0.479,-0.106,-0.872
1,0.1,1.75,1,1,1.4001,3,0.94,0.479,-0.106,-0.872
1,0.1,3.0,1,1,1.4001,3,0.94,0.479,-0.106,-0.872
1,0.1,1.0,1,1,0.5331,1,0.921,0.487,-0.11,-0.866
1,1.55,1.0,1,1,0.5331,1,0.921,0.487,-0.11,-0.866
1,3.0,1.0,1,1,0.5331,1,0.921,0.487,-0.11,-0.866
3,7.0,0.0,1,3,1.3517,2,0.907,0.495,-0.112,-0.862
3,7.0,0.0,2,3,1.3517,2,0.907,0.495,-0.112,-0.862
1,0.1,1.0,1,3,0.3296,2,0.085,0.028,-0.179,0.983
1,1.55,1.0,1,3,0.3296,2,0.085,0.081,-0.085,0.993
1,3.0,1.0,1,3,0.3296,2,0.087,0.083,-0.242,0.967
1,0.1,0.5,1,2,0.0464,1,1.038,0.667,0.09,-0.739
1,0.1,1.75,1,2,0.0464,1,1.038,0.667,0.09,-0.739
1,0.1,3.0,1,2,0.0464,1,1.038,0.667,0.09,-0.739
4,7.0,0.1,2,1,0.0274,2,0.054,0.053,0.035,0.998
4,7.0,0.35,2,1,0.0274,2,0.055,0.105,-0.014,0.994
4,7.0,0.6,2,1,0.0274,2,0.054,0.052,0.035,0.998
3,7.0,0.0,2,3,0.4831,2,0.915,0.492,-0.109,-0.864
3,7.0,0.0,1,3,0.4831,2,0.915,0.492,-0.109,-0.864
1,0.1,1.0,2,1,1.1663,3,0.937,0.48,-0.107,-0.87
1,0.1,1.0,1,1,1.1663,3,0.937,0.48,-0.107,-0.87
1,0.1,1.0,2,3,0.4605,2,0.907,0.495,-0.112,-0.862
1,0.1,1.0,1,3,0.4605,2,0.907,0.495,-0.112,-0.862
1,0.1,1.0,1,2,0.3981,1,0.918,0.489,-0.111,-0.865
1,1.55,1.0,1,2,0.3981,1,0.918,0.489,-0.111,-0.865
1,3.0,1.0,1,2,0.3981,1,0.918,0.489,-0.111,-0.865
4,7.0,0.1,2,3,0.1385,1,0.058,0.054,0.025,0.998
4,7.0,0.35,2,3,0.1385,1,0.058,0.054,0.025,0.998
4,7.0,0.6,2,3,0.1385,1,0.058,0.054,0.025,0.998
4,3.0,0.4,2,3,0.1924,2,0.062,0.015,0.008,1.0
4,76.5,0.4,2,3,0.1924,2,0.062,0.015,0.008,1.0
4,150.0,0.4,2,3,0.1924,2,0.062,0.015,0.008,1.0
1,0.1,1.0,1,1,0.0094,3,0.892,0.505,-0.112,-0.856
1,1.55,1.0,1,1,0.0094,3,0.892,0.505,-0.112,-0.856
1,3.0,1.0,1,1,0.0094,3,0.892,0.505,-0.112,-0.856
3,7.0,0.0,1,3,1.2733,2,0.039,-0.0,-0.0,1.0
3,7.0,0.0,2,3,1.2733,2,0.039,-0.0,-0.0,1.0
4,7.0,0.4,2,3,0.6162,3,1.195,-0.585,-0.483,-0.651
4,7.0,0.4,1,3,0.6162,3,1.195,-0.585,-0.483,-0.651
4,7.0,0.4,1,1,0.6061,1,1.103,0.612,-0.638,0.467
4,7.0,0.4,2,1,0.6061,1,0.777,0.704,-0.709,0.031
1,0.1,1.0,1,1,0.5459,3,0.924,0.487,-0.108,-0.867
1,0.1,1.0,2,1,0.5459,3,0.924,0.487,-0.108,-0.867
4,7.0,0.4,2,1,1.7956,3,3.124,0.472,-0.846,0.249
4,7.0,0.4,1,1,1.7956,3,3.129,0.472,-0.846,0.248
4,7.0,0.1,2,2,0.3041,3,0.039,0.0,0.0,1.0
4,7.0,0.35,2,2,0.3041,3,0.039,0.0,0.0,1.0
4,7.0,0.6,2,2,0.3041,3,0.039,0.0,0.0,1.0
1,0.1,1.0,2,1,0.005,3,0.063,0.166,0.007,0.986
1,0.1,1.0,1,1,0.005,3,0.063,0.105,0.021,0.994
4,7.0,0.4,2,2,0.0165,2,0.886,0.508,-0.113,-0.854
4,7.0,0.4,1,2,0.0165,2,0.886,0.508,-0.113,-0.854
4,7.0,0.4,1,2,0.1914,1,0.046,-0.0,-0.001,1.0
4,7.0,0.4,2,2,0.1914,1,0.046,-0.0,-0.001,1.0
4,3.0,0.4,2,3,0.2553,1,0.06,-0.03,0.014,0.999
4,76.5,0.4,2,3,0.2553,1,0.06,-0.03,0.014,0.999
4,150.0,0.4,2,3,0.2553,1,0.06,-0.03,0.014,0.999
1,0.1,1.0,1,2,0.1395,3,1.192,-0.586,-0.485,-0.649
1,0.1,1.0,2,2,0.1395,3,1.192,-0.586,-0.485,-0.649
1,0.1,1.0,1,1,0.2803,3,0.042,-0.299,-0.452,0.84
1,0.1,1.0,2,1,0.2803,3,0.041,-0.469,-0.282,0.837
1,0.1,1.0,1,2,0.1063,2,0.04,0.0,-0.0,1.0
1,0.1,1.0,2,2,0.1063,2,0.04,0.0,-0.0,1.0
3,3.0,0.0,2,3,0.0091,3,0.885,0.505,-0.111,-0.856
3,76.5,0.0,2,3,0.0091,3,0.885,0.505,-0.111,-0.856
3,150.0,0.0,2,3,0.0091,3,0.885,0.505,-0.111,-0.856
3,7.0,0.0,2,3,0.034,3,0.901,0.496,-0.112,-0.861
3,7.0,0.0,1,3,0.034,3,0.901,0.496,-0.112,-0.861
3,3.0,0.0,2,2,0.0508,1,0.887,0.507,-0.113,-0.855
3,76.5,0.0,2,2,0.0508,1,0.887,0.507,-0.113,-0.855
3,150.0,0.0,2,2,0.0508,1,0.887,0.507,-0.113,-0.855
1,0.1,1.0,2,1,1.4123,3,1.077,0.643,0.087,-0.761
1,0.1,1.0,1,1,1.4123,3,1.077,0.643,0.087,-0.761
4,7.0,0.4,2,3,1.2032,1,1.047,0.662,0.089,-0.745
4,7.0,0.4,1,3,1.2032,1,1.047,0.662,0.089,-0.745
1,0.1,1.0,2,1,1.5831,3,0.003,-0.003,0.0,1.0
1,0.1,1.0,1,1,1.5831,3,0.003,-0.003,0.0,1.0
3,3.0,0.0,2,2,0.0501,1,0.901,0.498,-0.113,-0.86
3,76.5,0.0,2,2,0.0501,1,0.901,0.498,-0.113,-0.86
3,150.0,0.0,2,2,0.0501,1,0.901,0.498,-0.113,-0.86
1,0.1,1.0,2,3,0.7622,1,0.894,0.503,-0.112,-0.857
1,0.1,1.0,1,3,0.7622,1,0.894,0.503,-0.112,-0.857
4,7.0,0.4,2,2,0.3278,2,0.898,0.5,-0.113,-0.859
4,7.0,0.4,1,2,0.3278,2,0.898,0.5,-0.113,-0.859
1,0.1,1.0,1,1,0.4898,2,0.026,-0.0,0.0,1.0
1,1.55,1.0,1,1,0.4898,2,0.026,-0.0,0.0,1.0
1,3.0,1.0,1,1,0.4898,2,0.026,-0.0,0.0,1.0
3,3.0,0.0,2,3,0.229,3,0.034,-0.598,-0.796,0.09
3,76.5,0.0,2,3,0.229,3,0.031,0.14,0.182,0.973
3,150.0,0.0,2,3,0.229,3,0.034,0.985,0.163,-0.052
3,3.0,0.0,2,1,3.1254,2,1.235,-0.564,-0.468,-0.681
3,76.5,0.0,2,1,3.1254,2,1.235,-0.564,-0.468,-0.681
3,150.0,0.0,2,1,3.1254,2,1.235,-0.564,-0.468,-0.681
4,3.0,0.4,2,1,0.505,3,0.688,0.816,-0.562,0.135
